Time,c2_system.prob,c2_system.cases,c2_system.C_dot,c2_system.Level,c2_system.state_level,c2_system.total,c2_system.D
24.600000,1.000000,252.832048,17.248185,3.000000,0.000000,1115.200581,12.935753
24.700000,1.000000,251.334285,17.127801,3.000000,0.000000,1116.919429,12.984001
24.800000,1.000000,249.842772,17.008720,3.000000,0.000000,1118.626304,13.031976
24.900000,1.000000,248.357366,16.890928,3.000000,0.000000,1120.321335,13.079682
25.000000,1.000000,246.877935,16.774410,3.000000,0.000000,1122.004649,13.127122
25.100000,1.000000,245.404364,16.659152,3.000000,0.000000,1123.676374,13.174301
25.200000,1.000000,243.936547,16.545136,3.000000,0.000000,1125.336636,13.221221
25.300000,1.000000,242.474394,16.432346,3.000000,0.000000,1126.985556,13.267886
25.400000,1.000000,241.017823,16.320764,3.000000,0.000000,1128.623257,13.314300
25.500000,1.000000,239.566766,16.210373,3.000000,0.000000,1130.249859,13.360464
25.600000,1.000000,238.121164,16.101155,3.000000,0.000000,1131.865481,13.406381
25.700000,1.000000,236.680969,15.993089,3.000000,0.000000,1133.470237,13.452055
25.800000,1.000000,235.246142,15.886159,3.000000,0.000000,1135.064244,13.497486
25.900000,1.000000,233.816654,15.780343,3.000000,0.000000,1136.647613,13.542678
26.000000,1.000000,232.392484,15.675624,3.000000,0.000000,1138.220454,13.587633
26.100000,1.000000,230.973618,15.571979,3.000000,0.000000,1139.782878,13.632351
26.200000,1.000000,229.560052,15.469391,3.000000,0.000000,1141.334989,13.676836
26.300000,1.000000,228.151787,15.367839,3.000000,0.000000,1142.876892,13.721087
26.400000,1.000000,226.748831,15.267302,3.000000,0.000000,1144.408691,13.765108
26.500000,1.000000,225.351199,15.167760,3.000000,0.000000,1145.930486,13.808899
26.600000,1.000000,223.958910,15.069194,3.000000,0.000000,1147.442375,13.852460
26.700000,1.000000,222.571991,14.971584,3.000000,0.000000,1148.944455,13.895795
26.800000,1.000000,221.190471,14.874909,3.000000,0.000000,1150.436820,13.938902
26.900000,1.000000,219.814386,14.779149,3.000000,0.000000,1151.919563,13.981784
27.000000,1.000000,218.443772,14.684285,3.000000,0.000000,1153.392775,14.024440
27.100000,1.000000,217.078673,14.590297,3.000000,0.000000,1154.856544,14.066872
27.200000,1.000000,215.719135,14.497166,3.000000,0.000000,1156.310956,14.109081
27.300000,1.000000,214.365204,14.404874,3.000000,0.000000,1157.756098,14.151066
27.400000,1.000000,213.016932,14.313400,3.000000,0.000000,1159.192050,14.192829
27.500000,1.000000,211.674371,14.222726,3.000000,0.000000,1160.618895,14.234369
27.600000,1.000000,210.337576,14.132835,3.000000,0.000000,1162.036712,14.275687
27.700000,1.000000,209.006602,14.043708,3.000000,0.000000,1163.445577,14.316784
27.800000,1.000000,207.681508,13.955327,3.000000,0.000000,1164.845567,14.357659
27.900000,1.000000,206.362351,13.867676,3.000000,0.000000,1166.236755,14.398313
28.000000,1.000000,205.049189,13.780738,3.000000,0.000000,1167.619214,14.438747
28.100000,1.000000,203.742081,13.694495,3.000000,0.000000,1168.993013,14.478960
28.200000,1.000000,202.441087,13.608932,3.000000,0.000000,1170.358221,14.518952
28.300000,1.000000,201.146265,13.524033,3.000000,0.000000,1171.714906,14.558723
28.400000,1.000000,199.857673,13.439783,3.000000,0.000000,1173.063134,14.598275
28.500000,1.000000,198.575370,13.356167,3.000000,0.000000,1174.402968,14.637606
28.600000,1.000000,197.299412,13.273170,3.000000,0.000000,1175.734471,14.676717
28.700000,1.000000,196.029856,13.190778,3.000000,0.000000,1177.057705,14.715608
28.800000,1.000000,194.766756,13.108977,3.000000,0.000000,1178.372729,14.754279
28.900000,1.000000,193.510165,13.027755,3.000000,0.000000,1179.679601,14.792730
29.000000,1.000000,192.260136,12.947099,3.000000,0.000000,1180.978379,14.830961
29.100000,1.000000,191.016719,12.866995,3.000000,0.000000,1182.269120,14.868972
29.200000,1.000000,189.779962,12.787433,3.000000,0.000000,1183.551876,14.906764
29.300000,1.000000,188.549913,12.708401,3.000000,0.000000,1184.826703,14.944336
29.400000,1.000000,187.326615,12.629887,3.000000,0.000000,1186.093653,14.981689
29.500000,1.000000,186.110113,12.551881,3.000000,0.000000,1187.352776,15.018822
29.600000,1.000000,184.900445,12.474373,3.000000,0.000000,1188.604123,15.055736
29.700000,1.000000,183.697650,12.397353,3.000000,0.000000,1189.847744,15.092431
29.800000,1.000000,182.501765,12.320811,3.000000,0.000000,1191.083686,15.128908
29.900000,1.000000,181.312822,12.244739,3.000000,0.000000,1192.311998,15.165165
30.000000,1.000000,180.130853,12.169128,3.000000,0.000000,1193.532725,15.201205
30.100000,1.000000,178.955886,12.093970,3.000000,0.000000,1194.745914,15.237026
30.200000,1.000000,177.787947,12.019256,3.000000,0.000000,1195.951609,15.272630
30.300000,1.000000,176.627060,11.944980,3.000000,0.000000,1197.149854,15.308016
30.400000,1.000000,175.473246,11.871135,3.000000,0.000000,1198.340694,15.343184
30.500000,1.000000,174.326523,11.797713,3.000000,0.000000,1199.524169,15.378136
30.600000,1.000000,173.186907,11.724708,3.000000,0.000000,1200.700323,15.412872
30.700000,1.000000,172.054412,11.652115,3.000000,0.000000,1201.869197,15.447391
30.800000,1.000000,170.929048,11.579927,3.000000,0.000000,1203.030832,15.481695
30.900000,1.000000,169.810823,11.508139,3.000000,0.000000,1204.185268,15.515784
31.000000,1.000000,168.699743,11.436746,3.000000,0.000000,1205.332545,15.549658
31.100000,1.000000,167.595811,11.365744,3.000000,0.000000,1206.472701,15.583318
31.200000,1.000000,166.499028,11.295128,3.000000,0.000000,1207.605777,15.616765
31.300000,1.000000,165.409392,11.224893,3.000000,0.000000,1208.731810,15.649999
31.400000,1.000000,164.326898,11.155036,3.000000,0.000000,1209.850838,15.683021
31.500000,1.000000,163.251541,11.085553,3.000000,0.000000,1210.962899,15.715831
31.600000,1.000000,162.183311,11.016441,3.000000,0.000000,1212.068031,15.748430
31.700000,1.000000,161.122198,10.947696,3.000000,0.000000,1213.166269,15.780820
31.800000,1.000000,160.068187,10.879316,3.000000,0.000000,1214.257651,15.813000
31.900000,1.000000,159.021264,10.811298,3.000000,0.000000,1215.342212,15.844971
32.000000,1.000000,157.981411,10.743639,3.000000,0.000000,1216.419990,15.876734
32.100000,1.000000,156.948608,10.676337,3.000000,0.000000,1217.491019,15.908291
32.200000,1.000000,155.922834,10.609390,3.000000,0.000000,1218.555336,15.939641
32.300000,1.000000,154.904065,10.542796,3.000000,0.000000,1219.612976,15.970786
32.400000,1.000000,153.892275,10.476553,3.000000,0.000000,1220.663974,16.001727
32.500000,1.000000,152.887438,10.410659,3.000000,0.000000,1221.708364,16.032464
32.600000,1.000000,151.889525,10.345113,3.000000,0.000000,1222.746183,16.062999
32.700000,1.000000,150.898506,10.279915,3.000000,0.000000,1223.777464,16.093333
32.800000,1.000000,149.914347,10.215061,3.000000,0.000000,1224.802242,16.123466
