Time,nz-c3.C_dot,nz-c3.Level,nz-c3.total_cases,nz-c3.deaths,nz-c3.Iu,nz-c3.Ic
214,8766.546087,4,885130.074934,13972.620829,87665.460871,77575.407114
215,8402.523845,4,893716.735846,14080.658514,84025.238449,80336.195326
216,8030.953014,4,901933.169026,14199.023076,80309.530139,82165.551164
217,7673.334372,4,909783.788386,14327.447253,76733.343724,83078.442878
218,7339.258194,4,917288.107596,14465.076686,73392.581942,83136.444239
219,7031.245256,4,924471.352379,14610.465824,70312.452561,82438.736424
220,6748.161076,4,931359.219471,14761.69558,67481.610765,81110.823561
221,6487.299137,4,937975.358027,14916.578226,64872.991374,79291.297333
222,6245.516693,4,944340.427171,15072.89206,62455.166928,77118.494952
223,6019.79089,4,950471.973212,15228.590364,60197.908899,74719.214412
224,5807.456387,4,956384.686834,15381.948344,58074.563874,72200.990287
225,5606.281869,4,962090.807876,15531.636045,56062.818686,69648.382094
226,5414.469682,4,967600.563405,15676.725022,54144.696821,67122.80475
227,5230.619843,4,972922.585342,15816.64752,52306.198425,64664.897132
228,5053.677791,4,978064.282898,15951.129551,50536.777913,62298.296725
229,4882.875646,4,983032.158913,16080.11609,48828.756463,60033.845788
230,4717.672801,4,987832.066731,16203.701045,47176.728006,57873.544656
231,4557.700027,4,992469.409116,16322.068897,45577.000269,55813.869543
232,4402.710064,4,996949.284318,16435.450381,44027.100635,53848.31614
233,4252.536483,4,1001276.586758,16544.091601,42525.364833,51969.193294
234,4107.061495,4,1005456.071039,16648.23444,41070.614953,50168.77894
235,3966.192347,4,1009492.38811,16748.105601,39661.923474,48439.982418
236,3829.845303,4,1013390.101726,16843.911736,38298.453026,46776.654275
237,3697.935787,4,1017153.692092,16935.83851,36979.357874,45173.663835
238,3570.373209,4,1020787.552107,17024.051982,35703.732091,43626.838006
239,3447.059047,4,1024295.980175,17108.701123,34470.590466,42132.828739
240,3327.88703,4,1027683.172231,17189.920713,33278.870304,40688.954431
241,3212.744499,4,1030953.214606,17267.834141,32127.444989,39293.043402
242,3101.514271,4,1034110.078545,17342.55587,31015.142706,37943.295002
243,2994.076599,4,1037157.616675,17414.193446,29940.765989,36638.165287
244,2890.310953,4,1040099.561346,17482.84905,28903.109529,35376.278668
245,2790.097496,4,1042939.524613,17548.620639,27900.974962,34156.3636
246,2693.318225,4,1045680.999534,17611.602723,26933.18225,32977.208754
247,2599.85778,4,1048327.362424,17671.886881,25998.577804,31837.635464
248,2509.603977,4,1050881.875794,17729.562064,25096.039771,30736.482359
249,2422.448105,4,1053347.691687,17784.714766,24224.481046,29672.59853
250,2338.285057,4,1055727.855231,17837.429099,23382.850573,28644.842245
251,2257.013342,4,1058025.308257,17887.78682,22570.133422,27652.082907
252,2178.535009,4,1060242.89288,17935.867337,21785.350088,26693.204571
253,2102.75553,4,1062383.354986,17981.747703,21027.555303,25767.109899
254,2029.583663,4,1064449.347586,18025.502624,20295.836631,24872.723863
255,1958.931299,4,1066443.434026,18067.204463,19589.312995,24008.996802
256,1890.713323,4,1068368.091051,18106.923277,18907.133229,23174.906711
257,1824.847473,4,1070225.711726,18144.726843,18248.474735,22369.460752
258,1761.254225,4,1072018.608232,18180.68071,17612.54225,21591.696061
259,1699.856674,4,1073749.014543,18214.848251,16998.566738,20840.679988
260,1640.580439,4,1075419.088996,18247.290723,16405.804388,20115.509905
261,1583.507279,0,1077030.936433,18278.067417,15835.072792,19415.33235
262,1536.763807,0,1078589.194271,18307.247658,15367.638066,18741.925991
263,1534.756895,0,1080119.362285,18335.000871,15347.56895,18118.028249
264,1615.525947,0,1081686.625638,18361.697865,16155.259467,17606.154634
265,1789.327517,0,1083381.617733,18387.821124,17893.275171,17294.347853
266,2039.415088,0,1085290.599749,18413.76321,20394.150879,17266.266832
267,2339.170083,0,1087476.668487,18439.724926,23391.700827,17582.00726
268,2666.25154,0,1089977.617083,18465.762233,26662.515396,18274.911705
269,3008.205468,0,1092813.688675,18491.897984,30082.054682,19357.384947
270,3361.836819,0,1095997.504994,18518.227218,33618.368193,20828.302846
271,3730.073825,0,1099541.83826,18544.990281,37300.738248,22678.566924
272,4118.833353,0,1103464.106829,18572.60677,41188.333528,24894.702059
273,4534.900366,0,1107788.208056,18601.66913,45349.003664,27461.661802
274,4984.876854,0,1112544.783706,18632.902165,49848.768537,30365.717495
275,5474.865765,0,1117770.834366,18667.103033,54748.657655,33597.509847
276,6010.521499,0,1123509.227844,18705.080151,60105.214987,37154.784432
277,6597.211304,4,1129808.329182,18747.60659,65972.113037,41044.250742
