Time,nz-c1.S,nz-c1.E,nz-c1.P,nz-c1.Iu,nz-c1.Ic,nz-c1.Ru,nz-c1.Rc,nz-c1.D,nz-c1.cases,nz-c1.Level
191.000000,4819404.506969,0.000001,0.000000,0.000001,0.000047,642.494724,1485.899332,21.498930,1500.908462,4.000000
192.000000,4819404.506969,0.000001,0.000000,0.000001,0.000042,642.494724,1485.899336,21.498930,1500.908463,4.000000
193.000000,4819404.506969,0.000001,0.000000,0.000001,0.000039,642.494724,1485.899340,21.498930,1500.908463,4.000000
194.000000,4819404.506969,0.000001,0.000000,0.000001,0.000035,642.494724,1485.899344,21.498930,1500.908463,4.000000
195.000000,4819404.506969,0.000001,0.000000,0.000000,0.000032,642.494724,1485.899347,21.498930,1500.908463,4.000000
196.000000,4819404.506969,0.000000,0.000000,0.000000,0.000029,642.494724,1485.899350,21.498930,1500.908463,4.000000
197.000000,4819404.506969,0.000000,0.000000,0.000000,0.000026,642.494724,1485.899353,21.498930,1500.908463,4.000000
198.000000,4819404.506969,0.000000,0.000000,0.000000,0.000024,642.494724,1485.899355,21.498930,1500.908463,4.000000
199.000000,4819404.506969,0.000000,0.000000,0.000000,0.000022,642.494724,1485.899357,21.498930,1500.908464,4.000000
200.000000,4819404.506969,0.000000,0.000000,0.000000,0.000020,642.494724,1485.899359,21.498930,1500.908464,4.000000
201.000000,4819404.506969,0.000000,0.000000,0.000000,0.000018,642.494724,1485.899361,21.498930,1500.908464,4.000000
202.000000,4819404.506969,0.000000,0.000000,0.000000,0.000016,642.494724,1485.899363,21.498930,1500.908464,4.000000
203.000000,4819404.506969,0.000000,0.000000,0.000000,0.000015,642.494724,1485.899365,21.498930,1500.908464,4.000000
204.000000,4819404.506969,0.000000,0.000000,0.000000,0.000013,642.494724,1485.899366,21.498930,1500.908464,4.000000
205.000000,4819404.506969,0.000000,0.000000,0.000000,0.000012,642.494724,1485.899367,21.498930,1500.908464,4.000000
206.000000,4819404.506969,0.000000,0.000000,0.000000,0.000011,642.494724,1485.899368,21.498930,1500.908464,4.000000
207.000000,4819404.506969,0.000000,0.000000,0.000000,0.000010,642.494724,1485.899369,21.498930,1500.908464,4.000000
208.000000,4819404.506969,0.000000,0.000000,0.000000,0.000009,642.494724,1485.899370,21.498930,1500.908464,4.000000
209.000000,4819404.506969,0.000000,0.000000,0.000000,0.000008,642.494724,1485.899371,21.498930,1500.908464,4.000000
210.000000,4819404.506969,0.000000,0.000000,0.000000,0.000008,642.494724,1485.899372,21.498930,1500.908464,4.000000
211.000000,4819404.506969,0.000000,0.000000,0.000000,0.000007,642.494724,1485.899373,21.498930,1500.908464,4.000000
212.000000,4819404.506969,0.000000,0.000000,0.000000,0.000006,642.494724,1485.899373,21.498930,1500.908464,4.000000
