Time,covidsim_system.S,covidsim_system.E1,covidsim_system.E2,covidsim_system.P1,covidsim_system.P2,covidsim_system.I1,covidsim_system.I2,covidsim_system.L1,covidsim_system.L2,covidsim_system.R,covidsim_system.D,covidsim_system.prob,covidsim_system.cases,covidsim_system.C_dot
13.600000,4818194.839061,1130.027140,812.949022,185.980014,171.119248,966.211086,482.345036,198.420578,66.844255,24.215788,0.048772,0.473363,1511.885515,171.119248
13.700000,4818154.171628,1142.306016,820.924352,187.717274,172.616129,973.694448,487.195505,201.268828,68.166879,24.888814,0.050127,0.473363,1529.064601,172.616129
13.800000,4818113.069638,1154.711060,829.007477,189.480247,174.137119,981.253409,492.072522,204.137128,69.504782,25.575108,0.051510,0.473363,1546.394459,174.137119
13.900000,4818071.529271,1167.242930,837.198859,191.269055,175.682379,988.889624,496.976584,207.025547,70.858010,26.274824,0.052919,0.473363,1563.877507,175.682379
14.000000,4818029.546663,1179.902310,845.498963,193.083823,177.252063,996.604747,501.908197,209.934154,72.226611,26.988113,0.054355,0.473363,1581.516178,177.252063
14.100000,4817987.117908,1192.689912,853.908263,194.924671,178.846323,1004.400431,506.867881,212.863027,73.610634,27.715131,0.055820,0.473363,1599.312923,178.846323
14.200000,4817944.239057,1205.606471,862.427237,196.791722,180.465309,1012.278326,511.856165,215.812244,75.010128,28.456030,0.057312,0.473363,1617.270205,180.465309
14.300000,4817900.906116,1218.652747,871.056370,198.685096,182.109166,1020.240084,516.873591,218.781891,76.425141,29.210965,0.058832,0.473363,1635.390503,182.109166
14.400000,4817857.115050,1231.829526,879.796155,200.604917,183.778040,1028.287350,521.920710,221.772057,77.855722,29.980092,0.060381,0.473363,1653.676312,183.778040
14.500000,4817812.861776,1245.137617,888.647090,202.551304,185.472072,1036.421772,526.998085,224.782835,79.301922,30.763566,0.061959,0.473363,1672.130140,185.472072
14.600000,4817768.142169,1258.577855,897.609684,204.524382,187.191403,1044.644991,532.106292,227.814324,80.763790,31.561544,0.063566,0.473363,1690.754508,187.191403
14.700000,4817722.952056,1272.151098,906.684453,206.524272,188.936170,1052.958650,537.245913,230.866627,82.241378,32.374181,0.065203,0.473363,1709.551952,188.936170
14.800000,4817677.287221,1285.858227,915.871921,208.551097,190.706511,1061.364385,542.417543,233.939854,83.734735,33.201636,0.066870,0.473363,1728.525023,190.706511
14.900000,4817631.143401,1299.700148,925.172623,210.604983,192.502561,1069.863832,547.621789,237.034116,85.243915,34.044065,0.068566,0.473363,1747.676283,192.502561
15.000000,4817584.516288,1313.677791,934.587101,212.686055,194.324455,1078.458624,552.859266,240.149532,86.768969,34.901626,0.070294,0.473363,1767.008311,194.324455
15.100000,4817537.401524,1327.792106,944.115908,214.794438,196.172327,1087.150390,558.130599,243.286224,88.309951,35.774479,0.072052,0.473363,1786.523696,196.172327
15.200000,4817489.794708,1342.044070,953.759609,216.930261,198.046310,1095.940758,563.436424,246.444322,89.866915,36.662783,0.073841,0.473363,1806.225042,198.046310
15.300000,4817441.691389,1356.434680,963.518776,219.093652,199.946537,1104.831350,568.777387,249.623957,91.439914,37.566697,0.075661,0.473363,1826.114966,199.946537
15.400000,4817393.087069,1370.964957,973.393994,221.284743,201.873139,1113.823788,574.154142,252.825269,93.029005,38.486381,0.077513,0.473363,1846.196099,201.873139
15.500000,4817343.977200,1385.635944,983.385858,223.503664,203.826250,1122.919689,579.567355,256.048401,94.634243,39.421997,0.079398,0.473363,1866.471083,203.826250
15.600000,4817294.357188,1400.448708,993.494975,225.750551,205.806002,1132.120669,585.017700,259.293502,96.255686,40.373706,0.081315,0.473363,1886.942577,205.806002
15.700000,4817244.222388,1415.404335,1003.721964,228.025538,207.812526,1141.428339,590.505860,262.560725,97.893393,41.341669,0.083264,0.473363,1907.613249,207.812526
15.800000,4817193.568106,1430.503937,1014.067454,230.328763,209.845957,1150.844308,596.032529,265.850230,99.547421,42.326050,0.085247,0.473363,1928.485784,209.845957
15.900000,4817142.389597,1445.748644,1024.532087,232.660367,211.906428,1160.370183,601.598408,269.162181,101.217830,43.327012,0.087263,0.473363,1949.562877,211.906428
